id_inscripcion,curso,edad,provincia,nivel_educativo,trabaja,horas_trabajo_semanales,experiencia_previa,modalidad_pago,precio_pagado_ars,precio_pagado_usd,dispositivo_principal,hora_inscripcion,logins_semana_1,logins_semana_2,segundos_video_vistos,mensajes_foro,entregas_a_tiempo,nota_primera_entrega,dias_desde_ultimo_login,logins_semana_6,encuesta_salida_completada,abandono
L00883,Python Inicial,40,Buenos Aires,Secundario,Si,51.0,Si,Cuotas,273000,226.8,Celular,17,6,4,115442,0,1,8.8,1,2,No,0
L02147,Data Analytics,45,CABA,Posgrado,No,0.0,No,Pago unico,360000,288.7,Computadora,20,5,5,71730,1,0,7.2,4,1,No,0
L02454,UX/UI,36,CABA,Secundario,Si,43.0,No,Pago unico,368000,319.2,Computadora,19,3,1,28956,0,0,6.9,1,1,No,0
L01969,Data Analytics,32,Buenos Aires,Posgrado,Si,37.0,No,Cuotas,442000,369.4,Computadora,23,4,1,58315,1,1,8.7,9,1,Si,1
L02851,UX/UI,37,Cordoba,Universitario,Si,42.0,Si,Pago unico,352000,285.0,Computadora,14,2,10,184195,1,2,9.7,0,9,No,0
L01893,python inicial,23,Cordoba,Posgrado,No,0.0,Si,Beca,34000,28.3,Celular,2,1,1,69200,1,0,5.6,5,3,No,0
L02579,Data Analytics,47,CABA,Universitario,Si,43.0,Si,Cuotas,446000,365.7,Computadora,22,4,4,79201,0,0,4.4,4,4,No,0
L03179,Data Analytics,37,Buenos Aires,Secundario,Si,,Si,Cuotas,479000,385.9,Celular,6,1,6,82909,0,0,,0,0,No,0
L02388,UX/UI,18,Buenos Aires,Terciario,No,0.0,No,Cuotas,433000,355.5,Computadora,23,1,5,141906,1,1,6.0,1,4,No,0
L00663,UX/UI,22,CABA,Terciario,Si,,No,Cuotas,399000,346.3,Tablet,17,2,0,41182,1,0,,8,0,Si,1
L02607,UX/UI,25,CABA,Universitario,Si,38.0,No,Cuotas,410000,347.2,Celular,20,4,0,0,0,0,,6,0,Si,1
L02141,Programacion Web,27,Otra,Universitario,Si,29.0,No,Pago unico,448000,382.5,Tablet,18,0,2,90819,0,0,7.2,5,4,No,0
L02966,Producto Digital,23,CABA,Universitario,No,0.0,Si,Beca,101000,85.5,Computadora,11,8,4,144732,4,1,10.0,3,8,No,0
L03167,Marketing Digital,23,Mendoza,Posgrado,No,0.0,No,Beca,6000,5.0,Computadora,4,2,0,78874,0,0,,9,0,Si,1
L03183,Data Analytics,25,CABA,Secundario,No,0.0,No,Pago unico,392000,317.0,Computadora,10,8,12,179616,4,2,10.0,1,7,No,0
L01297,Programacion Web,35,Santa Fe,Terciario,Si,33.0,No,Pago unico,419000,363.7,Celular,3,4,1,33550,0,0,,1,0,Si,1
L02235,Data Analytics,51,Santa Fe,Secundario,Si,48.0,No,Cuotas,452000,369.4,Celular,4,3,0,70451,0,0,8.0,3,0,No,0
