id_publicacion,genero_musical,oyentes_mensuales_spotify,capacidad_venue,tipo_venue,sector,precio_original,precio_original_con_cargos,dias_hasta_el_show,dia_semana_show,show_agotado_en_preventa,vendedor_verificado,cantidad_entradas_publicadas,cantidad_fotos_publicacion,precio_publicado,se_vendio,comision_plataforma,precio_reventa
P00826,Electronica,4346767,8400,Arena,Campo,52000,60000,22,Viernes,No,No,2.0,3.0,70000,1,10000.0,70000.0
P01270,Trap,843108,3300,Teatro,Campo,46000,53900,8,Viernes,No,Si,2.0,1.0,68000,1,10000.0,68000.0
P00986,Indie,13744934,25000,Estadio,CAMPO,57000,68900,23,Jueves,Si,Si,1.0,8.0,158000,1,24000.0,158000.0
P01204,Indie,10211935,15000,Arena,Platea Alta,44000,52700,47,Jueves,No,Si,3.0,5.0,68000,1,10000.0,68000.0
P00438,Cumbia,351766,3300,Teatro,General,22000,25700,21,Martes,No,Si,4.0,3.0,23000,1,3000.0,23000.0
P00700,Rock nacional,2793314,15000,Arena,Platea Alta,43000,51500,3,Lunes,No,No,3.0,1.0,43000,1,6000.0,43000.0
P00118,Trap,566378,8400,Arena,General,26000,30100,53,Jueves,No,Si,2.0,1.0,29000,1,4000.0,29000.0
P00772,Pop internacional,5179242,15000,Arena,Campo,55000,66200,7,Viernes,No,No,2.0,3.0,86000,1,13000.0,86000.0
P00200,Cumbia,215965,3300,Teatro,Platea Alta,38000,45600,8,Martes,No,Si,2.0,7.0,58000,1,9000.0,58000.0
P01202,Pop internacional,960228,5000,Arena,general,26000,31600,36,Jueves,No,Si,2.0,3.0,37000,1,6000.0,37000.0
P01149,Pop internacional,494400,3300,Teatro,General,23000,27100,22,Sabado,No,No,1.0,5.0,40000,1,6000.0,40000.0
P01173,Rock nacional,31264677,25000,Estadio,Palco,183000,214200,28,Miercoles,No,Si,6.0,5.0,313000,1,47000.0,313000.0
P00749,Indie,1138665,8400,Arena,Campo,54000,66200,23,Viernes,No,No,1.0,3.0,88000,1,13000.0,88000.0
P00603,Rock nacional,2027740,8400,Arena,Campo,52000,64400,19,Sabado,No,No,2.0,6.0,103000,1,15000.0,103000.0
P01388,Trap,3741075,15000,Arena,Platea Alta,43000,51600,8,Sabado,No,Si,1.0,3.0,102000,1,15000.0,102000.0
P00707,Pop internacional,550072,5000,Arena,General,26000,31100,3,Domingo,No,Si,1.0,8.0,38000,1,6000.0,38000.0
P00035,Rock nacional,505470,3300,Teatro,Palco,143000,167700,24,Domingo,No,Si,1.0,8.0,252000,1,38000.0,252000.0
P01152,Cumbia,10309698,15000,Arena,GENERAL,31000,38300,5,Viernes,No,No,2.0,8.0,51000,1,8000.0,51000.0
P01383,Pop internacional,60000000,45000,Estadio,campo,58000,68900,14,Jueves,No,No,6.0,7.0,128000,1,19000.0,128000.0
P00744,Pop internacional,50000,1100,Club,campo,34000,40300,0,Sabado,No,Si,2.0,7.0,21000,1,3000.0,21000.0
P00681,Trap,550938,3300,Teatro,PLATEA ALTA,33000,41000,6,Domingo,Si,No,3.0,7.0,38000,1,6000.0,38000.0
P00940,Trap,355195,3300,Teatro,Campo,48000,59400,1,Viernes,No,Si,2.0,6.0,48000,1,7000.0,48000.0
P00657,Pop internacional,37621370,45000,Estadio,platea baja,71000,82500,27,Jueves,Si,No,1.0,2.0,160000,1,24000.0,160000.0
P00434,Rock nacional,15818706,45000,Estadio,General,32000,37700,35,Viernes,No,Si,3.0,7.0,48000,1,7000.0,48000.0
P00470,Pop internacional,2362108,5000,Arena,general,25000,28900,7,Sabado,No,Si,1.0,5.0,44000,1,7000.0,44000.0
P01124,Cumbia,205513,1500,Club,CAMPO,40000,46000,17,Miercoles,No,No,1.0,5.0,48000,1,7000.0,48000.0
P00052,Pop internacional,459213,5000,Arena,Platea Baja,64000,78400,0,Viernes,No,No,1.0,8.0,62000,1,9000.0,62000.0
P00867,Indie,12840717,25000,Estadio,Platea Baja,61000,72500,47,Sabado,Si,No,4.0,8.0,97000,1,15000.0,97000.0
P01215,Rock nacional,50000,1100,Club,General,23000,27700,24,Domingo,No,Si,1.0,4.0,29000,1,4000.0,29000.0
P00557,Trap,3057577,8400,Arena,General,25000,29300,45,Jueves,No,No,1.0,4.0,28000,1,4000.0,28000.0
P00911,Pop internacional,495415,1500,Club,Campo,39000,45300,18,Sabado,No,Si,2.0,6.0,71000,1,11000.0,71000.0
P01381,Electronica,2978706,5000,Arena,Platea Baja,58000,70000,34,Viernes,No,Si,2.0,2.0,79000,1,12000.0,79000.0
P01300,Rock nacional,60000000,84000,Estadio,General,37000,44800,35,Martes,No,No,1.0,5.0,62000,1,9000.0,62000.0
P00534,Cumbia,60000000,84000,Estadio,Platea Alta,51000,59300,17,Miercoles,No,No,1.0,3.0,102000,1,15000.0,102000.0
P00758,Electronica,6613162,25000,Estadio,Platea Alta,51000,61500,3,Miercoles,No,Si,6.0,8.0,55000,1,8000.0,55000.0
P00856,Trap,6150980,8400,Arena,General,26000,31100,7,Viernes,Si,No,2.0,2.0,67000,1,10000.0,67000.0
P00859,Trap,949565,3300,Teatro,Campo,47000,56900,9,Sabado,No,Si,1.0,3.0,76000,1,11000.0,76000.0
P00668,Pop internacional,40124009,45000,Estadio,Campo,64000,74800,21,Sabado,Si,Si,1.0,2.0,154000,1,23000.0,154000.0
P00465,Electronica,73287,1500,Club,Campo,36000,41600,41,Viernes,No,No,4.0,7.0,41000,1,6000.0,41000.0
P00387,Cumbia,121997,1500,Club,general,24000,29700,41,Sabado,No,Si,4.0,8.0,22000,1,3000.0,22000.0
P00691,Electronica,160908,1100,Club,Platea Alta,28000,34900,60,Lunes,No,No,1.0,2.0,21000,1,3000.0,21000.0
P00490,Indie,166232,1500,Club,general,21000,24500,12,Lunes,No,Si,1.0,2.0,35000,1,5000.0,35000.0
P00964,Electronica,316730,1100,Club,Campo,36000,43400,29,Jueves,No,Si,1.0,1.0,50000,1,8000.0,50000.0
P01306,Trap,33187945,84000,Estadio,Campo,69000,84800,23,Sabado,No,Si,1.0,8.0,164000,1,25000.0,164000.0
P00363,Indie,3491118,25000,Estadio,Campo,52000,63000,19,Miercoles,No,No,2.0,3.0,85000,1,13000.0,85000.0
P01250,Pop internacional,18520853,15000,Arena,Platea Alta,47000,57700,1,Jueves,Si,Si,2.0,5.0,59000,1,9000.0,59000.0
P00140,Rock nacional,1945905,15000,Arena,GENERAL,27000,31100,8,Domingo,No,No,1.0,5.0,38000,1,6000.0,38000.0
P00709,Electronica,1039328,8400,Arena,PLATEA ALTA,40000,49900,17,Sabado,Si,No,3.0,3.0,85000,1,13000.0,85000.0
